datum_snapshot,datum_slot,uhrzeit_slot,dauer_minuten,court,preis,status,tage_im_voraus
2026-05-20T09:53:59,2026-05-21,17:30,90,Court 3,60.0,frei,1
2026-05-20T09:53:59,2026-05-21,17:30,120,Court 3,80.0,frei,1
2026-05-20T09:53:59,2026-05-21,18:00,60,Court 3,40.0,frei,1
2026-05-20T09:53:59,2026-05-21,18:00,90,Court 3,60.0,frei,1
2026-05-20T09:53:59,2026-05-21,18:30,60,Court 3,40.0,frei,1
2026-05-20T09:53:59,2026-05-21,18:30,120,Court 3,80.0,frei,1
2026-05-20T09:53:59,2026-05-21,19:00,90,Court 3,60.0,frei,1
2026-05-20T09:53:59,2026-05-21,19:30,60,Court 3,40.0,frei,1
2026-05-20T09:53:59,2026-05-21,22:00,60,Court 3,40.0,frei,1
2026-05-20T09:53:59,2026-05-21,08:00,60,Court 4,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,08:00,90,Court 4,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,08:00,120,Court 4,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,08:30,60,Court 4,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,08:30,90,Court 4,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,08:30,120,Court 4,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,09:00,60,Court 4,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,09:00,90,Court 4,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,09:00,120,Court 4,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,09:30,60,Court 4,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,09:30,90,Court 4,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,09:30,120,Court 4,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,10:00,60,Court 4,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,10:00,90,Court 4,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,10:00,120,Court 4,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,10:30,60,Court 4,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,10:30,90,Court 4,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,10:30,120,Court 4,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,11:00,60,Court 4,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,11:00,90,Court 4,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,11:00,120,Court 4,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,11:30,60,Court 4,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,11:30,90,Court 4,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,11:30,120,Court 4,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,12:00,60,Court 4,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,12:00,90,Court 4,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,12:00,120,Court 4,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,12:30,60,Court 4,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,12:30,90,Court 4,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,12:30,120,Court 4,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,13:00,60,Court 4,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,13:00,90,Court 4,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,13:00,120,Court 4,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,13:30,60,Court 4,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,13:30,90,Court 4,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,13:30,120,Court 4,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,14:00,60,Court 4,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,14:00,90,Court 4,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,14:00,120,Court 4,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,14:30,60,Court 4,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,14:30,90,Court 4,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,15:00,60,Court 4,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,15:00,120,Court 4,64.0,frei,1
2026-05-20T09:53:59,2026-05-21,15:30,90,Court 4,52.0,frei,1
2026-05-20T09:53:59,2026-05-21,16:00,60,Court 4,40.0,frei,1
2026-05-20T09:53:59,2026-05-21,18:30,90,Court 4,60.0,frei,1
2026-05-20T09:53:59,2026-05-21,22:00,60,Court 4,40.0,frei,1
2026-05-20T09:53:59,2026-05-21,08:00,60,Court 1,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,08:00,90,Court 1,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,08:00,120,Court 1,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,08:30,60,Court 1,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,08:30,90,Court 1,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,08:30,120,Court 1,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,09:00,60,Court 1,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,09:00,90,Court 1,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,09:00,120,Court 1,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,09:30,60,Court 1,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,09:30,90,Court 1,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,09:30,120,Court 1,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,10:00,60,Court 1,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,10:00,90,Court 1,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,10:00,120,Court 1,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,10:30,60,Court 1,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,10:30,90,Court 1,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,10:30,120,Court 1,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,11:00,60,Court 1,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,11:00,90,Court 1,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,11:00,120,Court 1,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,11:30,60,Court 1,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,11:30,90,Court 1,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,11:30,120,Court 1,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,12:00,60,Court 1,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,12:00,90,Court 1,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,12:00,120,Court 1,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,12:30,60,Court 1,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,12:30,90,Court 1,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,12:30,120,Court 1,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,13:00,60,Court 1,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,13:00,90,Court 1,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,13:00,120,Court 1,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,13:30,60,Court 1,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,13:30,90,Court 1,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,13:30,120,Court 1,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,14:00,60,Court 1,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,14:00,90,Court 1,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,14:00,120,Court 1,48.0,frei,1
